Sub Job,Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Vendor,Item,Description,Detail Type,Original Budget Amount,Budget Modifications,Approved COs,Pending COs,Committed Costs,Direct Cost Details,Pending Cost Changes,Forecast To Complete,Job to Date Costs Detail,AP Commitment Costs Detail
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025 Jesse Dawson,Direct Cost,,,,,,$769.20,,,$769.20,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025,Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025 Jesse Dawson (IOthers),Direct Cost,,,,,,$19.93,,,$19.93,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025,Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025 Jesse Dawson (Insurance),Direct Cost,,,,,,$23.01,,,$23.01,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025,Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025 Jesse Dawson (Payroll Fees),Direct Cost,,,,,,$2.12,,,$2.12,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025,Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025 Jesse Dawson,Direct Cost,,,,,,$307.68,,,$307.68,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025,Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025 Jesse Dawson (Others),Direct Cost,,,,,,$89.67,,,$89.67,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025,Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025 Jesse Dawson (Insurance),Direct Cost,,,,,,$103.56,,,$103.56,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025,Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025 Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$9.52,,,$9.52,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025,Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025 Jesse Dawson,Direct Cost,,,,,,"$1,384.56",,,"$1,384.56",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: 24-104 RCLS JOB COST FROM OVERHEAD TO COST GL,RCLS JOB COST FROM OVERHEAD TO COST GL,Direct Cost,,,,,,$611.38,,,$611.38,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: 24-104 RCLS JOB COST FROM OVERHEAD TO COST GL,RCLS JOB COST FROM OVERHEAD TO COST GL,Direct Cost,,,,,,$985.75,,,$985.75,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: 24-104 RCLS JOB COST FROM OVERHEAD TO COST GL,RCLS JOB COST FROM OVERHEAD TO COST GL,Direct Cost,,,,,,$-611.38,,,$-611.38,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: 24-104 RCLS JOB COST FROM OVERHEAD TO COST GL,RCLS JOB COST FROM OVERHEAD TO COST GL,Direct Cost,,,,,,$-985.75,,,$-985.75,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025Jesse Dawson (Others-Insurance),Direct Cost,,,,,,$89.67,,,$89.67,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025Jesse Dawson (Insurance-health),Direct Cost,,,,,,$103.56,,,$103.56,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$9.52,,,$9.52,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025Jesse Dawson,Direct Cost,,,,,,"$1,384.56",,,"$1,384.56",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025,Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025Jesse Dawson (Others-Insurance),Direct Cost,,,,,,$257.40,,,$257.40,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025,Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025Jesse Dawson (Insurance-health),Direct Cost,,,,,,$381.79,,,$381.79,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025,Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$9.52,,,$9.52,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025,Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025Jesse Dawson,Direct Cost,,,,,,"$1,384.56",,,"$1,384.56",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025 Jesse Dawson (Others-Insurance),Direct Cost,,,,,,$69.74,,,$69.74,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025 Jesse Dawson (Insurance-health),Direct Cost,,,,,,$80.63,,,$80.63,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025 Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$7.40,,,$7.40,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025 Jesse Dawson,Direct Cost,,,,,,"$1,076.88",,,"$1,076.88",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025,Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025 Jesse Dawson (Other-Insurance),Direct Cost,,,,,,$49.82,,,$49.82,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025,Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025 Jesse Dawson (Insurance-Health),Direct Cost,,,,,,$57.60,,,$57.60,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025,Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025 Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$5.29,,,$5.29,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025,Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025 Jesse Dawson,Direct Cost,,,,,,$769.20,,,$769.20,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20253 | Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Other-Insurance),Direct Cost,,,,,,$28.57,,,$28.57,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20253 | Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Insurance-Health),Direct Cost,,,,,,$86.39,,,$86.39,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20253 | Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$7.93,,,$7.93,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20253 | Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson,Direct Cost,,,,,,"$1,153.80",,,"$1,153.80",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20252 | Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025,Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025 - Dawson Jesse (Retirement),Direct Cost,,,,,,$.93,,,$.93,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20252 | Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025,Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025 - Dawson Jesse (Payroll taxes),Direct Cost,,,,,,$6.98,,,$6.98,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20252 | Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025,Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025 - Dawson Jesse (Insurance-Health),Direct Cost,,,,,,$117.69,,,$117.69,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20252 | Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025,Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025 - Dawson Jesse (Payroll Fee),Direct Cost,,,,,,$10.58,,,$10.58,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20252 | Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025,Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025 - Dawson Jesse,Direct Cost,,,,,,"$1,538.40",,,"$1,538.40",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Other-Insurance),Direct Cost,,,,,,$-28.57,,,$-28.57,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Insurance-Health),Direct Cost,,,,,,$-86.39,,,$-86.39,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$-7.93,,,$-7.93,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson,Direct Cost,,,,,,"$-1,153.80",,,"$-1,153.80",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Other-Insurance),Direct Cost,,,,,,$28.57,,,$28.57,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Insurance-Health),Direct Cost,,,,,,$86.39,,,$86.39,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$7.93,,,$7.93,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: ,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson,Direct Cost,,,,,,"$1,153.80",,,"$1,153.80",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson (Retirement),Direct Cost,,,,,,$1.01,,,$1.01,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson (Payroll taxes),Direct Cost,,,,,,$55.84,,,$55.84,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson (Insurance-health),Direct Cost,,,,,,$129.45,,,$129.45,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson (Payroll fee),Direct Cost,,,,,,$11.63,,,$11.63,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson (Regular pay),Direct Cost,,,,,,"$1,692.24",,,"$1,692.24",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 (REVERSAL),Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$-1.01,,,$-1.01,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 (REVERSAL),Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$-55.84,,,$-55.84,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 (REVERSAL),Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$-129.46,,,$-129.46,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 (REVERSAL),Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$-11.64,,,$-11.64,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 (REVERSAL),Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,"$-1,692.24",,,"$-1,692.24",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$1.01,,,$1.01,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$55.84,,,$55.84,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$129.46,,,$129.46,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,$11.64,,,$11.64,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson,Direct Cost,,,,,,"$1,692.24",,,"$1,692.24",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,$-8.75,,,$-8.75,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,$-37.50,,,$-37.50,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,$-13.50,,,$-13.50,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,$-117.69,,,$-117.69,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,"$-1,538.46",,,"$-1,538.46",
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,$8.75,,,$8.75,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Payroll: Pay Date 12/31/2024 | Pay Period for : B1FRI 12/15/2024 to 12/28/2024  - DAWSON JESSE L - Vice President),Direct Cost,,,,,,$37.50,,,$37.50,
